n_iter,RandomPlayer,GreedyPlayer,AlphaZeroBaseline
100,0.6,0.0,0.6
200,0.4,0.0,0.3
300,0.4,0.0,0.3
400,0.3,0.0,0.6
500,0.4,0.0,0.6
600,0.5,0.0,0.4
700,0.4,0.0,0.7
800,0.5,0.0,0.3
900,0.6,0.0,0.5
1000,0.7,0.0,0.5
1100,0.4,0.0,0.4
1200,0.4,0.0,0.6
1300,0.4,0.0,0.5
1400,0.3,0.0,0.5
1500,0.5,0.0,0.4
1600,0.5,0.0,0.5
1700,0.3,0.0,0.5
1800,0.5,0.0,0.6
1900,0.4,0.0,0.7
2000,0.2,0.0,0.6
2100,0.1,0.0,0.5
2200,0.7,0.0,0.3
2300,0.5,0.0,0.5
2400,0.5,0.0,0.5
2500,0.4,0.0,0.2
2600,0.7,0.0,0.4
2700,0.3,0.0,0.5
2800,0.4,0.0,0.4
2900,0.3,0.0,0.5
3000,0.5,0.0,0.7
3100,0.3,0.0,0.5
3200,0.4,0.0,0.6
3300,0.7,0.0,0.5
3400,0.6,0.0,0.4
3500,0.5,0.0,0.4
3600,0.4,0.0,0.3
3700,0.4,0.0,0.5
3800,0.6,0.0,0.5
3900,0.3,0.0,0.5
4000,0.3,0.0,0.4
4100,0.5,0.0,0.5
4200,0.5,0.0,0.5
4300,0.5,0.0,0.5
4400,0.4,0.0,0.7
4500,0.4,0.0,0.5
4600,0.5,0.0,0.4
4700,0.3,0.0,0.6
4800,0.5,0.0,0.5
4900,0.3,0.0,0.5
5000,0.4,0.0,0.4
5100,0.3,0.0,0.6
5200,0.5,0.0,0.4
5300,0.5,0.0,0.4
5400,0.5,0.0,0.6
5500,0.5,0.0,0.3
5600,0.4,0.0,0.6
5700,0.3,0.0,0.2
5800,0.5,0.0,0.5
5900,0.4,0.0,0.4
6000,0.5,0.0,0.4
6100,0.4,0.0,0.5
6200,0.3,0.0,0.4
6300,0.2,0.0,0.5
6400,0.2,0.0,0.5
6500,0.4,0.0,0.4
6600,0.6,0.0,0.5
6700,0.4,0.0,0.5
6800,0.3,0.0,0.4
6900,0.4,0.0,0.3
7000,0.3,0.0,0.4
7100,0.3,0.0,0.4
7200,0.5,0.0,0.4
7300,0.4,0.0,0.3
7400,0.4,0.0,0.4
7500,0.4,0.0,0.4
7600,0.5,0.0,0.5
7700,0.1,0.0,0.4
7800,0.4,0.0,0.7
7900,0.4,0.0,0.4
8000,0.3,0.0,0.7
8100,0.5,0.0,0.4
8200,0.2,0.0,0.6
